DATA_INICIAL,DATA_FINAL,REGIAO,ESTADO,PRODUTO,NUM_POSTOS,UNIDADE,PRECO_MEDIO,DESVIO_PADRAO,PRECO_MINIMO,PRECO_MAXIMO,MARGEM_MEDIA,COEF_VARIACAO,PRECO_MEDIO_DIST,DESVIO_PADRAO_DIST,PRECO_MIN_DIST,PRECO_MAX_DIST,COEF_VAR_DIST
2012-12-30,2013-01-05,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,2.553,0.098,2.42,3.0,0.428,0.038,2.125,0.17,1.6239,2.2744,0.08
2012-12-30,2013-01-05,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.308,0.066,2.19,2.44,0.27,0.029,2.038,0.061,1.9056,2.2231,0.03
2012-12-30,2013-01-05,NORTE,AMAPA,ETANOL HIDRATADO,7,R$/l,2.26,0.045,2.18,2.32,-,0.02,-,-,-,-,-
2012-12-30,2013-01-05,NORTE,AMAZONAS,ETANOL HIDRATADO,70,R$/l,2.315,0.08,2.22,2.62,0.189,0.035,2.126,0.045,1.9941,2.2169,0.021
2012-12-30,2013-01-05,NORDESTE,BAHIA,ETANOL HIDRATADO,414,R$/l,2.167,0.127,1.85,2.599,0.286,0.059,1.881,0.118,1.62,2.14,0.063
2012-12-30,2013-01-05,NORDESTE,CEARA,ETANOL HIDRATADO,211,R$/l,2.201,0.087,2.03,2.45,0.172,0.04,2.029,0.042,1.9127,2.0908,0.021
2012-12-30,2013-01-05,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,80,R$/l,2.273,0.023,2.19,2.299,0.405,0.01,1.868,0.017,1.8429,1.8873,0.009
2012-12-30,2013-01-05,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,170,R$/l,2.453,0.079,2.19,2.69,0.345,0.032,2.108,0.095,2.0092,2.3632,0.045
2012-12-30,2013-01-05,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,255,R$/l,1.871,0.132,1.65,2.25,0.244,0.071,1.627,0.105,1.4599,2.057,0.065
2012-12-30,2013-01-05,NORDESTE,MARANHAO,ETANOL HIDRATADO,101,R$/l,2.18,0.136,1.99,2.72,0.151,0.062,2.029,0.119,1.8,2.2892,0.059
2012-12-30,2013-01-05,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,141,R$/l,1.922,0.09,1.68,2.09,0.411,0.047,1.511,0.074,1.41,1.695,0.049
2012-12-30,2013-01-05,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,130,R$/l,2.108,0.147,1.929,2.449,0.303,0.07,1.805,0.085,1.6312,2.007,0.047
2012-12-30,2013-01-05,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,974,R$/l,2.095,0.115,1.829,2.499,0.267,0.055,1.828,0.111,1.4318,2.1867,0.061
2012-12-30,2013-01-05,NORTE,PARA,ETANOL HIDRATADO,90,R$/l,2.401,0.162,2.19,3.0,0.267,0.067,2.134,0.125,1.76,2.29,0.059
2012-12-30,2013-01-05,NORDESTE,PARAIBA,ETANOL HIDRATADO,118,R$/l,2.177,0.074,1.977,2.38,0.233,0.034,1.944,0.066,1.83,2.0688,0.034
2012-12-30,2013-01-05,SUL,PARANA,ETANOL HIDRATADO,567,R$/l,1.975,0.081,1.739,2.29,0.237,0.041,1.738,0.061,1.5,1.8988,0.035
2012-12-30,2013-01-05,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,318,R$/l,2.164,0.121,1.929,2.589,0.263,0.056,1.901,0.098,1.75,2.2025,0.052
2012-12-30,2013-01-05,NORDESTE,PIAUI,ETANOL HIDRATADO,63,R$/l,2.309,0.075,2.19,2.59,0.166,0.032,2.143,0.069,1.9893,2.1704,0.032
2012-12-30,2013-01-05,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,711,R$/l,2.249,0.182,1.799,2.749,0.307,0.081,1.942,0.173,1.4704,2.273,0.089
2012-12-30,2013-01-05,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,108,R$/l,2.255,0.056,2.11,2.42,0.231,0.025,2.024,0.076,1.8009,2.1412,0.038
2012-12-30,2013-01-05,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,552,R$/l,2.382,0.115,2.099,2.77,0.284,0.048,2.098,0.074,1.8777,2.2877,0.035
2012-12-30,2013-01-05,NORTE,RONDONIA,ETANOL HIDRATADO,83,R$/l,2.378,0.078,2.15,2.67,0.307,0.033,2.071,0.097,1.968,2.2314,0.047
2012-12-30,2013-01-05,NORTE,RORAIMA,ETANOL HIDRATADO,16,R$/l,2.562,0.072,2.29,2.6,0.355,0.028,2.207,0.056,2.1,2.2843,0.025
2012-12-30,2013-01-05,SUL,SANTA CATARINA,ETANOL HIDRATADO,372,R$/l,2.366,0.085,2.09,2.75,0.277,0.036,2.089,0.049,1.995,2.1822,0.023
2012-12-30,2013-01-05,SUDESTE,SAO PAULO,ETANOL HIDRATADO,2381,R$/l,1.824,0.098,1.479,2.399,0.253,0.054,1.571,0.076,1.2995,1.87,0.048
2012-12-30,2013-01-05,NORDESTE,SERGIPE,ETANOL HIDRATADO,51,R$/l,2.328,0.069,2.19,2.475,0.243,0.03,2.085,0.067,1.9452,2.1994,0.032
2012-12-30,2013-01-05,NORTE,TOCANTINS,ETANOL HIDRATADO,60,R$/l,2.138,0.076,1.99,2.39,0.326,0.036,1.812,0.122,1.7032,2.0693,0.067
2012-12-30,2013-01-05,NORTE,ACRE,GASOLINA COMUM,52,R$/l,3.13,0.156,3.02,3.5,0.517,0.05,2.613,0.126,2.4722,2.89,0.048
2012-12-30,2013-01-05,NORDESTE,ALAGOAS,GASOLINA COMUM,96,R$/l,2.79,0.064,2.63,2.98,0.417,0.023,2.373,0.037,2.305,2.4657,0.016
2012-12-30,2013-01-05,NORTE,AMAPA,GASOLINA COMUM,34,R$/l,2.707,0.171,2.53,3.1,0.29,0.063,2.417,0.051,2.3163,2.459,0.021
2012-12-30,2013-01-05,NORTE,AMAZONAS,GASOLINA COMUM,119,R$/l,2.885,0.131,2.75,3.38,0.418,0.045,2.467,0.05,2.32,2.63,0.02
2012-12-30,2013-01-05,NORDESTE,BAHIA,GASOLINA COMUM,420,R$/l,2.82,0.086,2.479,3.149,0.468,0.03,2.352,0.068,2.25,2.5637,0.029
2012-12-30,2013-01-05,NORDESTE,CEARA,GASOLINA COMUM,228,R$/l,2.722,0.119,2.599,3.003,0.344,0.044,2.378,0.035,2.3231,2.5237,0.015
2012-12-30,2013-01-05,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA COMUM,80,R$/l,2.826,0.02,2.71,2.859,0.443,0.007,2.383,0.014,2.3439,2.399,0.006
2012-12-30,2013-01-05,SUDESTE,ESPIRITO SANTO,GASOLINA COMUM,189,R$/l,2.8,0.108,2.67,3.06,0.323,0.039,2.477,0.066,2.33,2.68,0.027
2012-12-30,2013-01-05,CENTRO OESTE,GOIAS,GASOLINA COMUM,253,R$/l,2.756,0.118,2.52,3.08,0.33,0.043,2.426,0.089,2.317,2.829,0.037
2012-12-30,2013-01-05,NORDESTE,MARANHAO,GASOLINA COMUM,149,R$/l,2.65,0.163,2.42,3.05,0.244,0.062,2.406,0.138,2.295,2.819,0.057
2012-12-30,2013-01-05,CENTRO OESTE,MATO GROSSO,GASOLINA COMUM,140,R$/l,2.965,0.087,2.75,3.19,0.462,0.029,2.503,0.075,2.3565,2.6107,0.03
2012-12-30,2013-01-05,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA COMUM,131,R$/l,2.85,0.101,2.619,3.05,0.434,0.035,2.416,0.048,2.3017,2.5183,0.02
2012-12-30,2013-01-05,SUDESTE,MINAS GERAIS,GASOLINA COMUM,984,R$/l,2.83,0.102,2.556,3.09,0.378,0.036,2.452,0.066,2.3,2.7559,0.027
2012-12-30,2013-01-05,NORTE,PARA,GASOLINA COMUM,196,R$/l,2.878,0.172,2.62,3.49,0.384,0.06,2.494,0.086,2.29,2.6997,0.034
2012-12-30,2013-01-05,NORDESTE,PARAIBA,GASOLINA COMUM,126,R$/l,2.655,0.059,2.45,2.85,0.339,0.022,2.316,0.038,2.227,2.3807,0.016
2012-12-30,2013-01-05,SUL,PARANA,GASOLINA COMUM,564,R$/l,2.802,0.07,2.59,3.15,0.401,0.025,2.401,0.047,2.202,2.595,0.02
2012-12-30,2013-01-05,NORDESTE,PERNAMBUCO,GASOLINA COMUM,333,R$/l,2.733,0.101,2.459,3.02,0.398,0.037,2.335,0.057,2.25,2.5003,0.024
2012-12-30,2013-01-05,NORDESTE,PIAUI,GASOLINA COMUM,102,R$/l,2.625,0.088,2.4,2.98,0.312,0.034,2.313,0.036,2.2,2.3751,0.016
2012-12-30,2013-01-05,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,737,R$/l,2.899,0.118,2.459,3.799,0.364,0.041,2.535,0.054,2.2657,2.6959,0.021
